lat,long,city
52.23235,21.00412,Warszawa
51.1,17.0333,Wroclaw
51.7833,19.46667,Lodz
50.0614300,19.936580,Krakow
52.40692,16.9299300,Poznan
54.369,18.639,Gdansk
53.430,14.529,Szczecin
53.120,18.010,Bydgoszcz
51.240,22.570,Lublin
53.139,23.159,Bialystok
50.259,19.020,Katowice
54.520,18.530,Gdynia
50.810,19.129,Czestochowa
51.399,21.159,Radom
53.020,18.609,Torun
50.279,19.120,Sosnowiec
50.889,20.649,Kielce
50.049,21.999,Rzeszow
50.310,18.669,Gliwice
50.299,18.779,Zabrze
53.779,20.489,olsztyn
49.819,19.049,Bielsko Biala
50.349,18.909,bytom
51.940,15.489,Zielona Gora
50.100,18.549,Rybnik
50.299,18.880,Ruda Slaska
50.679,17.940,Opole
50.160,19.000,Tychy
52.740,15.230,Gorzow Wielkopolski
50.330,19.180,Dabrowa Gornicza
54.179,19.399,Elblad
52.550,19.700,Plock
50.780,16.280,Walbrzych
52.659,19.059,Wloclawek
50.009,20.990,Tarnow
50.299,19.030,Chorzow
54.189,16.180,Koszalin
51.770,18.100,Kalisz
51.209,16.159,Legnica
53.490,18.749,Grudziadz
50.209,19.207,Jaworzno
54.470,17.019,Slupsk
49.990,18.590,Jastrzebie Zdroj
49.630,20.699,Nowy Sacz
52.169,22.280,Siedlce
50.240,19.140,Myslowice
52.209,28.249,Konin
51.409,19.700,Piotrkow Trybunalski
53.149,16.739,Pila
54.11175,22.9308,Suwalki